ccode1,ccode2,year,cap_1,cap_2,alliance,contig,dyaddur,polity21,polity22,demdA,demdB,allied,jointdem,anyweak,hegemon,terrmid,lncapratdir,NEGOC,terrcontig
2,20,1974,.153019,.012176,1,1,54,10,10,1,1,1,1,1,1,0,2.531095,0,0
2,20,1975,.144183,.012188,1,1,55,10,10,1,1,1,1,1,1,0,2.470632,0,0
2,20,1991,.136481,.011957,1,1,71,10,10,1,1,1,1,1,1,0,2.434869,0,0
2,40,1912,.224931,.001179,4,0,3,10,3,1,0,0,0,1,0,0,5.251127,0,0
2,40,1921,.253229,.001755,4,0,12,10,3,1,0,0,0,1,0,0,4.971825,0,0
2,40,1933,.20514,.001817,4,0,24,10,3,1,0,0,0,1,0,0,4.726506,0,0
2,40,1962,.210084,.003658,1,0,53,10,-7,1,0,1,0,1,1,0,4.050591,0,0
2,40,1971,.170722,.00227,4,0,62,10,-7,1,0,0,0,1,1,0,4.320257,0,0
2,40,1975,.144183,.002063,4,0,66,10,-7,1,0,0,0,1,1,0,4.246922,0,0
2,40,1976,.142452,.002357,4,0,67,10,-7,1,0,0,0,1,1,0,4.101615,0,0
2,40,1983,.133965,.003078,4,0,74,10,-7,1,0,0,0,1,1,0,3.773299,0,0
2,40,1987,.135768,.003287,4,0,78,10,-7,1,0,0,0,1,1,0,3.720972,0,0
2,40,1990,.140959,.003235,4,0,81,10,-7,1,0,0,0,1,1,0,3.77444,0,0
2,41,1869,.108006,.000346,4,0,10,8,-3,1,0,0,0,1,0,0,5.743504,0,0
2,41,1881,.126425,.000605,4,0,22,10,-3,1,0,0,0,1,0,0,5.342176,0,0
2,41,1882,.131011,.000632,4,0,23,10,-3,1,0,0,0,1,0,0,5.334147,1,0
2,41,1889,.154843,.000412,4,0,30,10,-3,1,0,0,0,1,0,0,5.929144,0,0
2,41,1891,.16559,.000558,4,0,32,10,-3,1,0,0,0,1,0,1,5.692911,0,0
2,41,1911,.21621,.000669,4,0,52,10,-3,1,0,0,0,1,0,0,5.778222,0,0
2,41,1914,.206369,.00058,4,0,55,10,-3,1,0,0,0,1,0,0,5.874393,0,0
2,41,1993,.156545,.00054,1,0,59,10,-7,1,0,1,0,1,1,0,5.66953,0,0
2,42,1900,.187999,.000146,4,0,6,10,-3,1,0,0,0,1,0,0,7.160585,0,0
2,42,1905,.213788,.000145,4,0,11,10,-3,1,0,0,0,1,0,0,7.296006,0,0
2,42,1914,.206369,.00016,4,0,20,10,,1,0,0,0,1,0,0,7.162247,0,0
2,42,1916,.232941,.00014,4,0,22,10,,1,0,0,0,1,0,0,7.416898,0,0
2,42,1961,.210826,.000522,1,0,37,10,-3,1,0,1,0,1,1,0,6.001121,0,0
2,55,1983,.133965,1.00e-05,1,0,9,10,,1,0,1,0,1,1,0,9.502748,0,0
2,70,1836,.050953,.009414,4,1,5,9,-3,1,0,0,0,1,0,0,1.688706,0,0
2,70,1839,.050801,.009478,4,1,8,9,-3,1,0,0,0,1,0,0,1.678943,0,0
2,70,1842,.049301,.008767,4,1,11,9,-3,1,0,0,0,1,0,1,1.72695,0,1
2,70,1843,.051081,.008692,4,1,12,9,-3,1,0,0,0,1,0,1,1.77101,0,1
2,70,1850,.072471,.008585,4,1,19,9,-3,1,0,0,0,1,0,0,2.13317,0,0
2,70,1855,.075997,.007897,4,1,24,8,-3,1,0,0,0,1,0,0,2.264211,0,0
2,70,1859,.083074,.008149,4,1,28,8,-3,1,0,0,0,1,0,0,2.321836,0,0
2,70,1860,.077372,.005192,4,1,29,8,-3,1,0,0,0,1,0,0,2.701506,0,0
2,70,1870,.099,.005307,4,1,39,8,-5,1,0,0,0,1,0,0,2.926093,0,0
2,70,1873,.116269,.006392,4,1,42,10,-5,1,0,0,0,1,0,0,2.900859,0,0
2,70,1875,.106965,.006623,4,1,44,10,-5,1,0,0,0,1,0,0,2.781953,0,0
2,70,1876,.101917,.006149,4,1,45,10,-6,1,0,0,0,1,0,0,2.807869,0,0
2,70,1880,.12546,.005887,4,1,49,10,-9,1,0,0,0,1,0,0,3.059241,1,0
2,70,1911,.21621,.005343,4,1,80,10,0,1,0,0,0,1,0,0,3.700463,0,0
2,70,1913,.219916,.005347,4,1,82,10,0,1,0,0,0,1,0,0,3.71671,0,0
2,70,1915,.222088,.004554,4,1,84,10,0,1,0,0,0,1,0,0,3.887068,0,0
2,70,1916,.232941,.005428,4,1,85,10,0,1,0,0,0,1,0,0,3.759214,0,0
2,70,1919,.381361,.006004,4,1,88,10,-1,1,0,0,0,1,0,0,4.15132,0,0
2,90,1911,.21621,.000507,4,0,43,10,-9,1,0,0,0,1,0,0,6.055494,0,0
2,92,1921,.253229,.000219,4,0,46,10,-6,1,0,0,0,1,0,0,7.052978,0,0
2,93,1909,.225197,.000217,4,0,9,10,-3,1,0,0,0,1,0,0,6.944834,1,0
2,93,1910,.226487,.000217,4,0,10,10,-3,1,0,0,0,1,0,0,6.950545,0,0
2,93,1926,.263268,.000171,4,0,26,10,,1,0,0,0,1,0,0,7.339264,0,0
2,93,1982,.130822,.00056,1,0,82,10,-5,1,0,1,0,1,1,0,5.453656,0,0
2,95,1987,.135768,.0003,1,0,67,10,-8,1,0,1,0,1,1,0,6.11492,0,0
2,100,1856,.078409,.001407,4,0,25,8,2,1,0,0,0,1,0,0,4.020479,0,0
2,100,1903,.210501,.001528,4,0,72,10,0,1,0,0,0,1,0,0,4.925531,0,0
2,101,2000,.149842,.004689,1,0,159,10,7,1,1,1,1,1,1,0,3.464362,0,0
2,135,1852,.071874,.001993,4,0,13,9,-1,1,0,0,0,1,0,1,3.585274,0,0
2,140,1866,.098172,.00934,4,0,40,8,-6,1,0,0,0,1,0,0,2.352415,0,0
2,140,1868,.10664,.009761,4,0,42,8,-6,1,0,0,0,1,0,0,2.391064,0,0
2,140,1903,.210501,.009941,4,0,77,10,-3,1,0,0,0,1,0,0,3.052823,0,0
2,155,1883,.131346,.002564,4,0,44,10,3,1,0,0,0,1,0,1,3.936266,0,0
2,155,1891,.16559,.002281,4,0,52,10,3,1,0,0,0,1,0,0,4.284901,0,0
2,200,1839,.050801,.30937,4,0,23,9,3,1,0,0,0,0,0,1,-1.806622,1,0
2,200,1854,.0742,.336089,4,0,38,8,3,1,0,0,0,0,0,0,-1.510612,0,0
2,200,1860,.077372,.276446,4,0,44,8,3,1,0,0,0,0,0,0,-1.273391,0,0
2,200,1861,.144429,.258389,4,0,45,8,3,1,0,0,0,0,0,0,-.5816782,0,0
2,200,1902,.207668,.161254,4,0,86,10,8,1,1,0,1,0,0,1,.2529599,1,0
2,200,1903,.210501,.142979,4,0,87,10,8,1,1,0,1,0,0,1,.3867926,1,0
2,220,1860,.077372,.12208,4,0,44,8,-8,1,0,0,0,0,0,0,-.4560516,0,0
2,220,1865,.135465,.110678,4,0,49,8,-6,1,0,0,0,0,0,0,.2020881,0,0
2,225,1954,.280941,.001666,4,0,138,10,10,1,1,0,1,1,1,0,5.127719,0,0
2,225,1959,.22912,.001588,4,0,143,10,10,1,1,0,1,1,1,0,4.971771,0,0
2,230,1816,.039697,.046393,4,0,0,9,-9,1,0,0,0,0,0,0,-.155873,0,0
2,230,1817,.035817,.042421,4,0,1,9,-9,1,0,0,0,0,0,0,-.1692208,0,0
2,230,1818,.036127,.04403,4,0,2,9,-9,1,0,0,0,0,0,1,-.1978307,0,0
2,230,1822,.033079,.032533,4,0,6,9,-4,1,0,0,0,0,0,0,.0166436,0,0
2,230,1823,.033251,.030179,4,0,7,9,-6,1,0,0,0,0,0,0,.0969385,0,0
2,230,1824,.033125,.026981,4,0,8,9,-6,1,0,0,0,0,0,0,.2051553,0,0
2,230,1825,.034364,.028846,4,0,9,9,-6,1,0,0,0,0,0,0,.1750382,0,0
2,230,1860,.077372,.021952,4,0,44,8,-6,1,0,0,0,0,0,0,1.259767,0,0
2,230,1861,.144429,.019012,4,0,45,8,-6,1,0,0,0,1,0,0,2.027718,0,0
2,230,1864,.192913,.017675,4,0,48,8,-6,1,0,0,0,1,0,0,2.390088,0,0
2,230,1866,.098172,.020437,4,0,50,8,-6,1,0,0,0,1,0,0,1.569374,0,0
2,230,1875,.106965,.02391,4,0,59,10,-2,1,0,0,0,1,0,0,1.498205,0,0
2,230,1896,.160011,.018368,4,0,80,10,4,1,0,0,0,1,0,0,2.164633,0,0
2,230,1898,.197062,.017012,4,0,82,10,4,1,0,0,0,1,0,1,2.4496,0,0
2,255,1915,.222088,.151116,4,0,99,10,2,1,0,0,0,0,0,0,.3850259,0,0
2,265,1958,.234602,.009695,4,0,4,10,-8,1,0,0,0,1,1,0,3.18628,0,0
2,300,1853,.078744,.087249,4,0,37,9,-6,1,0,0,0,0,0,0,-.102564,0,0
2,305,1960,.215612,.003639,4,0,5,10,10,1,1,0,1,1,1,0,4.081771,0,0
2,315,1953,.31116,.010801,4,0,8,10,-7,1,0,0,0,1,1,0,3.360669,0,0
2,315,1957,.255149,.0104,4,0,12,10,-7,1,0,0,0,1,1,0,3.200042,0,0
2,325,1943,.345632,.021931,4,0,127,10,0,1,0,0,0,1,0,0,2.757473,0,0
2,345,1946,.363988,.005341,4,0,2,10,-7,1,0,0,0,1,1,0,4.221708,0,0
2,345,1992,.150244,.002224,4,0,48,10,-5,1,0,0,0,1,1,0,4.212953,0,0
2,345,2000,.149842,.002245,4,0,56,10,7,1,1,0,1,1,1,0,4.200876,0,0
2,365,1918,.294876,.037405,4,0,102,10,-1,1,0,0,0,1,0,0,2.064751,0,0
2,365,1960,.215612,.171959,4,0,144,10,-7,1,0,0,0,0,1,0,.2262244,0,0
2,365,1961,.210826,.173939,4,0,145,10,-7,1,0,0,0,0,1,0,.1923285,0,0
2,365,1962,.210084,.176526,4,0,146,10,-7,1,0,0,0,0,1,0,.1740393,0,0
2,365,1964,.20316,.167705,4,0,148,10,-7,1,0,0,0,0,1,0,.1917874,0,0
2,365,1965,.201718,.164769,4,0,149,10,-7,1,0,0,0,0,1,0,.2023262,0,0
2,365,1967,.208724,.166979,4,0,151,10,-7,1,0,0,0,0,1,0,.2231448,0,0
2,365,1970,.181797,.170273,4,0,154,10,-7,1,0,0,0,0,1,0,.0654876,0,0
2,365,1972,.165007,.169892,4,0,156,10,-7,1,0,0,0,0,1,0,-.0291751,0,0
2,365,1977,.141818,.173055,4,0,161,10,-7,1,0,0,0,0,1,0,-.1990649,0,0
2,365,1980,.134273,.167749,4,0,164,10,-7,1,0,0,0,0,1,0,-.2225938,0,0
2,365,1981,.13921,.168779,4,0,165,10,-7,1,0,0,0,0,1,0,-.1926066,0,0
2,365,1985,.139,.174923,4,0,169,10,-7,1,0,0,0,0,1,0,-.2298719,0,0
2,365,1986,.136907,.173752,4,0,170,10,-7,1,0,0,0,0,1,0,-.2383271,0,0
2,365,1997,.146187,.056771,4,0,181,10,4,1,0,0,0,0,1,0,.945861,0,0
2,365,2000,.149842,.052663,4,0,184,10,7,1,1,0,1,0,1,0,1.045668,0,0
